Baron

AttackRating:                   160
AttackSpeedRating:              100
BaseAttackTime:                 0.5

Health:                         2560 - 9115 (+ 345 per lvl)
HealthRegenRate:                12.79 - 28.56 (+ 0.83 per lvl)

AbilityResistanceRating:        300
BasicResistanceRating:          165



other
	Reward.NumberOfCoins:           0
	Reward.TeamCardPoints:          0

CXPBounty:                      0
CXPSpawnTime:                   1.5
CriticallyWoundedThresholdPCT:  0
GainXPFromKills:                0
MaxLevel:                       15
VisionRadius:                   2000
XPBounty:                       52
XPToLevel:                      1

