Tower_Core_OneLane

AttackRating:                   70 - 260 (+ 10 per lvl)
AttackSpeedRating:              150
BaseAttackTime:                 0.5

Health:                         4000
HealthRegenRate:                0

AbilityResistanceRating:        300
BasicResistanceRating:          165



other
	Reward.NumberOfCoins:           0
	Reward.TeamCardPoints:          0

CXPBounty:                      0
CXPSpawnTime:                   1.5
CriticallyWoundedThresholdPCT:  0
GainXPFromKills:                0
MaxLevel:                       15
VisionRadius:                   2000
XPBounty:                       52
XPToLevel:                      1

